company,title,function,level,location,posted_date
Stripe,Vice President of Engineering,Engineering,Vice President,San Francisco CA,2026-04-15
Stripe,Senior Director of Product (Payments),Product,Senior Director,Seattle WA,2026-04-22
Stripe,Senior Vice President of Revenue,Revenue,Senior Vice President,New York NY,2026-03-30
Stripe,Vice President of Infrastructure,Engineering,Vice President,Remote US,2026-04-28
Stripe,Senior Director of Financial Planning & Analysis,Finance,Senior Director,San Francisco CA,2026-05-01
Stripe,Vice President of Technical Program Management,Technical Programs,Vice President,Seattle WA,2026-04-10
Block,Vice President of Operations,Operations,Vice President,Oakland CA,2026-04-08
Block,Senior Director of Risk Operations,Operations,Senior Director,San Francisco CA,2026-04-25
Block,Vice President of Engineering,Engineering,Vice President,Remote US,2026-04-18
Block,Senior Director of Sales,Revenue,Senior Director,New York NY,2026-03-28
Block,Vice President of Product,Product,Vice President,Oakland CA,2026-05-02
Block,Senior Vice President of Engineering,Engineering,Senior Vice President,San Francisco CA,2026-04-04
Brex,Vice President of Finance,Finance,Vice President,New York NY,2026-04-20
Brex,Senior Director of Financial Planning & Analysis,Finance,Senior Director,San Francisco CA,2026-04-22
Brex,Vice President of Engineering,Engineering,Vice President,Salt Lake City UT,2026-04-05
Brex,Senior Director of Product,Product,Senior Director,New York NY,2026-04-30
Brex,Vice President of Partnerships,Revenue,Vice President,Remote US,2026-04-12
Ramp,Vice President of Product,Product,Vice President,New York NY,2026-04-28
Ramp,Senior Director of Engineering,Engineering,Senior Director,San Francisco CA,2026-04-14
Ramp,Senior Vice President of Revenue,Revenue,Senior Vice President,New York NY,2026-04-02
Ramp,Vice President of Operations,Operations,Vice President,Miami FL,2026-04-25
Ramp,Senior Director of Technical Program Management,Technical Programs,Senior Director,Remote US,2026-05-03
Wise,Vice President of Engineering,Engineering,Vice President,Austin TX,2026-04-09
Wise,Senior Director of Product,Product,Senior Director,New York NY,2026-04-17
Wise,Vice President of Finance,Finance,Vice President,Tampa FL,2026-04-01
Adyen,Vice President of Revenue,Revenue,Vice President,San Francisco CA,2026-04-11
Adyen,Senior Director of Engineering,Engineering,Senior Director,Chicago IL,2026-04-19
Adyen,Vice President of Product,Product,Vice President,New York NY,2026-04-26
Adyen,Senior Director of Partnerships,Revenue,Senior Director,San Francisco CA,2026-05-01
Revolut,Vice President of Product,Product,Vice President,New York NY,2026-04-07
Revolut,Senior Director of Risk Operations,Operations,Senior Director,Dallas TX,2026-04-21
Revolut,Vice President of Engineering,Engineering,Vice President,Remote US,2026-04-16
Revolut,Senior Director of Financial Planning & Analysis,Finance,Senior Director,New York NY,2026-04-29
